id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-06-0152-02A	0.0151177944207914	0	0	0.053594263782678	0	0.204196403153893	0	0.0414969606090151	0	0	0.0308663842952158	0.0462653470240797	0.0664700171520431	0.0514209930958543	0.166177451691364	0.237279931197462	0.0537721968972887	0	0.0279854271928304	0	0.00535682948748432	0	0	0.488142949368623	0.872742087185632
TCGA-12-0618-01A	0.0393725202093275	0	0	0.000676858380283839	0	0.0766039076434416	0	0.0792731115688513	0	0	0.0363679006705993	0.00457460861542921	0.0952132073419951	0.102835818205681	0.0918004403824457	0.358343552744607	0.0169233599805779	0	0	0	0.0453871130573294	0.0526276011994316	0.02	0.157938596717453	1.02898080724351
TCGA-26-5139-01A	0.0351606100394991	0	0	0.00781711622206922	0	0.173543479799586	0.00382785902327866	0.00299480968537262	0	0	0.0571188478928471	0	0.246825155160829	0.0819162935058984	0.0658665918910229	0.275396141653319	0	0.00317775723765394	0	0.00982231529521384	0.00939189824525735	0.0271411243481529	0	0.292813286384299	0.966603021955692
TCGA-06-0747-01A	0.0157853873615827	0	0	0.0137313497204529	0	0.0809676288046265	0	0.0960204964366901	0	0	0	0.0640934902060005	0.243304340897937	0	0.0542316972901075	0.342552961229916	0	0	0	0.0403435910889584	0.0234435392853114	0.0255255176784174	0	0.179076715262574	1.01839901847591
TCGA-32-2616-01A	0.00733510202421415	0.00627548837235528	0	0.0706607742021422	0	0.216497340169875	0	0.0195551700075452	0	0	0	0.017092499846648	0.0679832729395137	0.0669217545438224	0.050784113346483	0.380352795226768	0	0.0194272082149121	0.00483729061327271	0	0.0191644326690117	0.0531127578234362	0	0.319699881556257	0.954670677978234
TCGA-06-0129-01A	0.0405812961092911	0	0.00339118059395914	0.00655680994661377	0	0.0988542298061544	0	0.06236094748777	0	0	0	0.0259709585153255	0.225242789762758	0	0.0506066379419286	0.400891940288908	0	0	0	0.0145737660836009	0.0709694434636908	0	0	0.322587864355515	0.95399056481134
TCGA-06-0125-01A	0.04966916492053	0	0	0	0	0.111327822015059	0	0.0314959240357313	0	0	0.0623581881533465	0.0140230542747642	0.137745605756987	0.131942419682345	0.0322971404967523	0.363137867599155	0	0	0.00500694419342462	0	0	0.0609958688719056	0	0.190774013223023	1.01669136792362
TCGA-06-0157-01A	0.0134503140978412	0	0.0132322359471401	0	0	0.130728286583635	0	0	0	0	0.0117378938474246	0.0075187033214893	0.0725782465907838	0.0386909393105928	0.0585552801745109	0.537956006184114	0	0	0.0047136024711897	0	0	0.110838491471278	0	0.338046928017851	0.955368141079409
TCGA-28-5220-01A	0	0.00644888943607342	0	0	0	0.168997555559198	0	0.0270711405096404	0	0.0280011677852017	0	0.0351028249809562	0.250782127560868	0	0.0648495171548712	0.283261116061624	0	0.00201071057523656	0.0553073277515281	0	0.0709638761424663	0.00720374648233607	0	0.315313032895623	0.954438309445265
TCGA-12-5295-01A	0.0337247946953441	0	0	0.117344788156942	0	0.215334493828069	0	0.0222096022216911	0	0	0	0.00208154477155878	0.0966003883665493	0.0395985122152256	0.0542602357576745	0.315790035845228	0	0	0.0304923706232222	0	0.061607713299212	0.0109555202192836	0	0.363736472323208	0.932249836689301
TCGA-06-0645-01A	0	0.00302048034163316	0	0	0	0.158846468988307	0.00846434784249849	0.00980837194679941	0	0	0.0126985097198419	0.0065367511562179	0.220306519784753	0.130626361152412	0.065089637694354	0.256479573055535	0	0	0	0.00427701634678215	0.0844459766772361	0.0393999852936285	0	0.453790158025195	0.890595716748705
TCGA-76-4929-01A	0	0.0102707092074403	0	0.0402433047274487	0	0.100512165320567	0	0	0	0	0.00611776351142855	0.0124356400943881	0.219030436764863	0.135894708809689	0.0519351350104682	0.371689214316922	0	0	0	0	0.0120695259192687	0.0398013963175156	0	0.319209207991321	0.962402915856121
TCGA-32-2615-01A	0	0.00532868184972172	0	0.0592004376853909	0	0.197518917171639	0	0.018109903036246	0.0106305016571822	0	0.0100773964436261	0.0263889677369762	0.16129050705953	0.0764970588403189	0.0539246778857011	0.268159408820443	0	0.00519431103380929	0	0.00180927948936974	0.0612565576240085	0.0446133936660374	0	0.307676541379453	0.958409366707989
TCGA-32-1980-01A	0.02173545477331	0.00652309269787644	0	0.0311062024961284	0	0.220452771493506	0	0	0.0306927948804454	0	0	0.0414345795848639	0.118699911120059	0.114339222815246	0.0612805101584893	0.296997880829357	0	0	0	0	0.00738883541142493	0.0493487437392938	0	0.411857370643652	0.910900685989991
TCGA-26-1442-01A	0	0.0344533005422204	0	0.00458709704956449	0	0.04415957398135	0	0	0	0	0.0384298063192172	0	0.331850624719688	0	0.0361848102168626	0.378294319236632	0	0	0.0588665270693811	0	0.0731739408650845	0	0	0.210888958111799	1.01308390434998
TCGA-06-0187-01A	0	0	0	0.0376970775894244	0	0.208216635720098	0	0	0	0	0.0454067449319392	0	0.146232850642062	0	0.0988391312770053	0.336020106703577	0	0	0.0301750001327012	0	0.0310955569525445	0.0663168960506484	0	0.289539286676287	0.967555326251575
TCGA-14-0790-01B	0	0.00584237272663455	0	0.0103364651793743	0	0.11277552503016	0	0.0575705636753913	0	0.0163773465796338	0.0335811475815776	0.00227973350115867	0.108331282624199	0	0.15205892554568	0.471837221154751	0	0	0.0290094164014401	0	0	0	0.02	0.16969223028467	1.03298441885817
TCGA-14-2554-01A	0.00522974040971427	0.0135137353858557	0	0.0667767716517409	0	0.154762746660212	0	0	0	0	0.0237967112498413	0.0119941831442015	0.342666779025363	0	0.0172407797156481	0.239770948256788	0	0.00944183176073257	0	0.0272666714015091	0.0691308237878412	0.0184082775505529	0	0.293156547149083	0.967930416338528
TCGA-28-2510-01A	0	0.00948500975266917	0	0.0160219162023567	0	0.132931605976981	0	0.0323323744534912	0	0	0	0.0385609684962747	0.242021592131564	0.0694849903541543	0.0663619318449717	0.23480114469699	0	0	0	0.0187790832609657	0.0925311606429554	0.0466882221866259	0	0.245168251348501	0.988483085701555
TCGA-06-2565-01A	0	0.012126868058443	0.00788512499011107	0.0233393219878802	0	0.194864851616213	0	0.0182478459295873	0.00669364893751436	0	0	0.0382346930596594	0.0879350240269309	0	0.0760327576370179	0.462864178388204	0.0152227544934906	0	0.0268524044041001	0	0	0.029700526470848	0	0.268623922272597	0.97893950991895
TCGA-06-0156-01A	0.017122118799204	0	0.0135592932455368	0.104923774557868	0	0.174094475792433	0	0.00641791913165149	0	0	0.0524969567612406	0	0.0440066161709739	0.0253385099419185	0.0580091088328928	0.364869803566759	0	0	0	0.0361117742710164	0	0.103049648928506	0	0.378558771440882	0.926459398135207
TCGA-14-1825-01A	0.00112051979949397	0	0.00210986104230188	0.00263101951147926	0	0.110541686735033	0	0.0218105064155553	0.00351808915826031	0	0	0.0560234752733962	0.188918105826091	0.10676752852348	0.0445369061366309	0.386897784727338	0	0	0.0546115327363729	0	0.00926579617940264	0.0112471879351641	0	0.250111438905808	0.990236657453176
TCGA-12-1597-01B	0	0.00128463674926131	0.00273345728390365	0	0	0.190576828325715	0	0.0174500468008488	0	0	0	0.0451054577240322	0.143099466681408	0.0847111942914374	0.0100944696344013	0.395217399508779	0	0	0.0370226788643606	0	0.00774899244050796	0.0649553716953441	0	0.278820989916459	0.976422352311355
